Data Label,Period,ERR
col,23.52,0.23
col,23.18,0.25
col,23.61,0.19
col,23.58,0.21
col,23.9,0.24
col,24.41,0.14
col,23.24,0.23
col,24.52,0.14
col,23.59,0.25
col,23.25,0.18
col,24.02,0.17
col,24.09,0.18
col,23.77,0.27
col,23.84,0.13
col,24.04,0.16
col,23.65,0.18
col,24.49,0.13
col,24.23,0.15
col,24.02,0.15
col,24.2,0.24
col,23.93,0.18
col,23.35,0.21
col,23.91,0.19
col,24.37,0.14
col,23.62,0.19
col,24.3,0.2
col,23.64,0.18
col,24.72,0.15
col,23.8,0.17
col,23.24,0.24
col,23.86,0.22
col,23.75,0.16
col,24.03,0.21
col,24.27,0.14
xct1,21.01,0.27
xct1,21.09,0.23
xct1,21.31,0.34
xct1,20.82,0.23
xct1,20.83,0.22
xct1,21.02,0.24
xct1,21.25,0.26
xct1,21.04,0.21
xct1,21.16,0.56
xct1,21.35,0.29
xct1,20.33,0.22
xct1,20.79,0.23
xct1,20.54,0.24
xct1,20.58,0.25
xct1,20.85,0.24
xct1,28.75,0.72
xct1,21.14,0.22
xct1,20.97,0.31
xct1,21.27,0.19
xct1,21.07,0.21
xct1,20.67,0.23
xct1,21.01,0.2
xct1,21.98,0.39
xct1,21,0.29
xct1,20.76,0.39
xct1,21.9,0.64
xct1,21.69,0.7
xct1,20.44,0.43
xct1,21.86,0.55
xct1,21.42,0.39
xct1,21.06,0.26
xct1,21.21,0.22
xct1,20.53,0.26
xct1,20.76,0.24
xct1,22.41,0.27
xct1,20.97,0.2
xct2,24.25,0.75
xct2,22.87,0.36
xct2,23.05,0.59
xct2,17.24,0.58
xct2,22.68,0.54
xct2,22.28,0.32
xct2,22.15,0.41
xct2,22.71,0.39
xct2,22.55,0.4
xct2,22.68,0.52
xct2,22.75,0.43
xct2,23.17,0.71
xct2,22.71,0.45
xct2,22.99,0.37
xct2,22.76,0.34
xct2,22.96,0.46
xct2,23.4,0.57
xct2,22.32,0.32
xct2,22.92,0.63
xct2,22.94,0.32
xct2,24.61,0.65
xct2,23.05,0.45
xct2,24.17,0.6
xct2,23.34,0.67
xct2,23.56,0.63
xct2,22.46,0.41
xct2,23.43,0.49
xct2,22.74,0.41
xct2,22.47,0.41
xct2,22.5,0.51
xct2,19.97,0.57
xct2,23.21,0.46
xct2,22.43,0.48
Xap5,22.01,0.78
Xap5,21.9,0.82
Xap5,20.76,0.62
Xap5,20.42,0.73
Xap5,21.22,0.31
Xap5,21.8,0.93
Xap5,20.26,0.45
Xap5,21.08,0.81
Xap5,21.12,0.73
Xap5,22.37,0.47
Xap5,21.17,0.91
Xap5,21.13,0.83
Xap5,20.96,0.48
Xap5,21.53,0.8
Xap5,20.65,0.64
Xap5,20.76,0.67
Xap5,21.03,0.62
Xap5,20.92,0.8
Xap5,20.56,0.55
Xap5,33.59,0.93
Xap5,20.41,0.64
Xap5,21.6,0.57
Xap5,21.81,0.73
Xap5,103,0.89
Xap5,21.98,0.66
Xap5,21.5,0.65
Xap5,31.84,0.65
Xap5,20.83,0.82
Xap5,25.8,0.7
Xap5,21.84,0.84
XCT-YFP-HA,23.85,0.42
XCT-YFP-HA,23.33,0.4
XCT-YFP-HA,24.12,0.41
XCT-YFP-HA,24.58,0.43
XCT-YFP-HA,24.76,0.49
XCT-YFP-HA,24.74,0.4
XCT-YFP-HA,23.95,0.35
XCT-YFP-HA,24.76,0.47
XCT-YFP-HA,24.52,0.34
XCT-YFP-HA,24.19,0.38
XCT-YFP-HA,24.74,0.58
XCT-YFP-HA,24.59,0.65
XCT-YFP-HA,24.42,0.76
XCT-YFP-HA,24.89,0.68
XCT-YFP-HA,23.6,0.36
XCT-YFP-HA,24.98,0.76
XCT-YFP-HA,24.04,0.31
XCT-YFP-HA,24.74,0.51
XCT-YFP-HA,24.3,0.48
XCT-YFP-HA,24.47,0.4
XCT-YFP-HA,24.46,0.37
XCT-YFP-HA,24.5,0.55
XCT-YFP-HA,24.47,0.38
XCT-YFP-HA,24.14,0.41
XCT-YFP-HA,23.99,0.4
XCT-YFP-HA,24.15,0.38
XCT-YFP-HA,23.88,0.39
XCT-YFP-HA,24.38,0.4
XCT-YFP-HA,24.41,0.28
XCT-YFP-HA,23.92,0.4
XCT-YFP-HA,24.21,0.37
XCT-YFP-HA,24.42,0.36
XCT-YFP-HA,51.33,0.61
XCT-YFP-HA,25.18,0.59
XCT-YFP-HA,24.72,0.95
prl1-2,25.66,0.37
prl1-2,24.77,0.32
prl1-2,25.22,0.34
prl1-2,25.5,0.32
prl1-2,25.66,0.47
prl1-2,24.89,0.24
prl1-2,24.91,0.25
prl1-2,25.44,0.38
prl1-2,24.47,0.27
prl1-2,26.29,0.23
prl1-2,25.36,0.24
prl1-2,25.43,0.31
prl1-2,25.47,0.33
prl1-2,25.41,0.3
prl1-2,25.26,0.36
prl1-2,25.2,0.25
prl1-2,24.47,0.38
prl1-2,25.64,0.7
prl1-2,25.53,0.31
prl1-2,25.55,0.29
prl1-2,25.79,0.21
prl1-2,23.79,0.36
prl1-2,25.29,0.35
prl1-2,25.08,0.43
prl1-2,25.72,0.24
prl1-2,25.29,0.22
prl1-2,25.36,0.34
prl1-2,25.31,0.22
prl1-2,25.63,0.48
mac3a,24.94,0.32
mac3a,33.46,0.79
mac3a,25.28,0.66
mac3a,25.06,0.79
mac3a,25.62,0.8
mac3a,33.8,0.68
mac3a,25.25,0.62
mac3a,25.19,0.6
mac3a,25.15,0.57
mac3a,25.73,0.71
mac3a,25.55,0.57
mac3a,25.16,0.39
mac3a,53.65,0.64
mac3a,25.41,0.57
mac3a,25.1,0.45
mac3a,25.41,0.45
mac3a,25.14,0.34
mac3a,25.56,0.62
mac3a,25.47,0.51
mac3a,25.01,0.35
mac3a,25.01,0.38
mac3a,25.54,0.64
mac3a,25.98,0.83
mac3a,25.49,0.62
mac3a,25.91,0.71
mac3a,52.24,0.84
mac3a,52.64,0.63
mac3a,24.78,0.35
mac3a,34.61,0.67
mac3b,24.74,0.63
mac3b,24.01,0.36
mac3b,24.77,0.53
mac3b,24.23,0.39
mac3b,24.84,0.51
mac3b,24.01,0.36
mac3b,24.72,0.29
mac3b,24.66,0.29
mac3b,24.67,0.36
mac3b,24.07,0.23
mac3b,24.77,0.39
mac3b,24.28,0.36
mac3b,24.63,0.38
mac3b,24.13,0.28
mac3b,24.96,0.57
mac3b,24.19,0.27
mac3b,24.99,0.66
mac3b,24.15,0.22
mac3b,24.11,0.24
mac3b,24.13,0.26
mac3b,24.37,0.28
mac3b,25.07,0.77
mac3b,24.27,0.28
mac3b,24.25,0.38
mac3b,24.45,0.18
mac3a-xct2,23.28,0.61
mac3a-xct2,22.69,0.37
mac3a-xct2,23.72,0.95
mac3a-xct2,32.1,0.94
mac3a-xct2,30.82,0.87
mac3a-xct2,22.49,0.3
mac3a-xct2,22.88,0.55
mac3a-xct2,156,1
mac3a-xct2,22.66,0.53
mac3a-xct2,22.95,0.73
mac3a-xct2,23.26,0.66
mac3a-xct2,23.12,0.75
mac3a-xct2,47.23,0.78
mac3a-xct2,23.36,0.59
mac3a-xct2,23.03,0.51
mac3a-xct2,25.44,0.59
mac3a-xct2,145,1
mac3a-xct2,103.7,0.66
mac3a-xct2,25.15,0.82
mac3a-xct2,114.7,0.7
mac3a-xct2,22.91,0.95
mac3a-xct2,22.74,0.41
mac3a-xct2,53.22,0.68
mac3a-xct2,22.92,0.71
mac3a-xct2,23.03,0.72
mac3a-xct2,21.99,0.59
mac3a-xct2,24.37,0.54
mac3a-xct2,24.76,0.86
mac3a-xct2,22.53,0.64
mac3a-xct2,23.43,0.75
mac3a-xct2,107.3,0.72
mac3a-xct2,23.96,0.38
mac3a-xct2,22.51,0.43
mac3b-xct2,24.25,0.23
mac3b-xct2,24.61,0.22
mac3b-xct2,24.77,0.24
mac3b-xct2,24.95,0.36
mac3b-xct2,24.84,0.38
mac3b-xct2,24.29,0.18
mac3b-xct2,24.74,0.29
mac3b-xct2,25.18,0.29
mac3b-xct2,24.75,0.24
mac3b-xct2,22.26,0.5
mac3b-xct2,24.62,0.22
mac3b-xct2,25.62,0.37
mac3b-xct2,24.56,0.21
mac3b-xct2,24.97,0.36
mac3b-xct2,24.69,0.3
mac3b-xct2,24.38,0.24
mac3b-xct2,25.13,0.4
mac3b-xct2,24.62,0.47
mac3b-xct2,25.44,0.26
mac3b-xct2,24.27,0.18
mac3b-xct2,24.51,0.23
mac3b-xct2,23.32,0.26
mac3b-xct2,24.79,0.23
mac3b-xct2,23.34,0.33
mac3b-xct2,25.37,0.32
mac3b-xct2,24.91,0.29
mac3a-mac3b,24.25,0.67
mac3a-mac3b,25.18,0.49
mac3a-mac3b,24.9,0.68
mac3a-mac3b,25.59,0.45
mac3a-mac3b,24.87,0.43
mac3a-mac3b,24.17,0.27
mac3a-mac3b,24.48,0.51
mac3a-mac3b,24.54,0.32
mac3a-mac3b,24.42,0.34
mac3a-mac3b,26.11,0.62
mac3a-mac3b,25.17,0.58
mac3a-mac3b,25.32,0.59
mac3a-mac3b,25.18,0.33
mac3a-mac3b,25.2,0.41
mac3a-mac3b,25.07,0.79
mac3a-mac3b,25.84,0.8
mac3a-mac3b,24.04,0.38
mac3a-mac3b,25.68,0.31
mac3a-mac3b,24.88,0.36
mac3a-mac3b,51.52,0.77
mac3a-mac3b,24.68,0.62
mac3a-mac3b,24.82,0.43
35S--XCT-YFP-HA,24.36,0.46
35S--XCT-YFP-HA,24.53,0.44
35S--XCT-YFP-HA,24.96,0.61
35S--XCT-YFP-HA,24.26,0.32
35S--XCT-YFP-HA,25.2,0.51
35S--XCT-YFP-HA,24.31,0.26
35S--XCT-YFP-HA,25.21,0.77
35S--XCT-YFP-HA,24.78,0.46
35S--XCT-YFP-HA,24.98,0.54
35S--XCT-YFP-HA,25.13,0.56
35S--XCT-YFP-HA,25.25,0.46
35S--XCT-YFP-HA,24.64,0.54
35S--XCT-YFP-HA,19.44,0.53
35S--XCT-YFP-HA,23.96,0.69
35S--XCT-YFP-HA,24.85,0.41
35S--XCT-YFP-HA,25.08,0.67
35S--XCT-YFP-HA,24.61,0.74